Start Time,End Time,Facility Code,Participant Code,Status,Reason,Outage (MW),Recovery Time (Minutes),Description,
1/28/2017 17:00,1/28/2017 17:30,TESLA_PICTON_G1,TSLA_MGT,Approved,Consequential,9.9,0,Western Power feeder down due to tripped recloser. Site cannot operate while feeder is down. Will request conversion to consequential.,
1/28/2017 0:30,1/28/2017 8:30,PJRH_GT11,PJRH,Approved,Forced,127,,Loss RTS,
4/13/2017 8:00,4/13/2017 16:30,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),190,9,Routine Maintenance,
4/6/2017 8:00,4/6/2017 16:30,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),190,9,Routine Maintenance,
1/27/2017 17:00,1/27/2017 17:00,AUXC_WGP,AUXC,Approved,Forced,12.49,,Refinery Steam & Power Imbalance.,
3/11/2017 8:00,9/14/2017 7:30,BW1_GREENWATERS_G2,GW,Not Accepted,Scheduled (Planned),217,39,Conduct Generator Inspection and Maintenance,
2/1/2017 8:00,3/11/2017 7:30,BW1_GREENWATERS_G2,GW,Not Accepted,Scheduled (Planned),217,39,Conduct Generator Inspection and Maintenance,
1/13/2017 12:30,1/16/2017 7:30,BW1_GREENWATERS_G2,GW,Approved,Forced,217,0,Operational Issues caused real time forced outage.,
1/13/2017 12:30,1/16/2017 7:30,BW1_GREENWATERS_G2,GW,Cancelled By Market Participant,Forced,217,0,Operational Issues caused real time forced outage.,
1/13/2017 12:00,1/13/2017 12:00,BW1_GREENWATERS_G2,GW,Approved,Forced,175.82,0,Operational Issues caused real time forced outage.,
2/1/2017 8:00,3/2/2017 7:30,ENRG_KALGOORLIE_GT3,ENRG,Approved,Forced,117.4,0,Unit decommissioned,
1/26/2017 11:30,1/26/2017 11:30,AUXC_WGP,AUXC,Approved,Forced,13.33,,"Power/ Steam imbalance
",
1/26/2017 11:00,1/26/2017 11:00,AUXC_WGP,AUXC,Approved,Forced,12.36,,"Power/ Steam imbalance
",
1/26/2017 9:30,1/26/2017 9:30,AUXC_WGP,AUXC,Approved,Forced,12.82,,"Power/ Steam imbalance
",
1/26/2017 9:00,1/26/2017 9:00,AUXC_WGP,AUXC,Approved,Forced,12.5,,"Power/ Steam imbalance
",
1/25/2017 13:30,1/25/2017 13:30,AUXC_WGP,AUXC,Approved,Forced,10.16,,"Power/ Steam imbalance
",
1/25/2017 12:30,1/25/2017 13:00,AUXC_WGP,AUXC,Approved,Forced,10.53,,"Power/ Steam imbalance
",
1/25/2017 12:30,1/25/2017 12:30,AUXC_WGP,AUXC,Approved,Forced,11.15,,"Power/ Steam imbalance
",
1/25/2017 11:00,1/25/2017 11:00,AUXC_WGP,AUXC,Approved,Forced,8.72,,"Power/ Steam imbalance
",
1/25/2017 10:30,1/25/2017 10:30,AUXC_WGP,AUXC,Approved,Forced,8.5,,"Power/ Steam imbalance
",
1/25/2017 10:00,1/25/2017 10:00,AUXC_WGP,AUXC,Approved,Forced,8.04,,Power steam imbalance,
1/28/2017 8:00,2/9/2017 16:30,ENRG_KALGOORLIE_GT3,ENRG,Approved,Scheduled (Planned),15,0,Boiler #1 Inspection,
11/5/2017 8:00,11/10/2017 17:30,KORL_GT3,KORL,Approved,Scheduled (Planned),21,12,EI,
10/25/2017 7:00,11/14/2017 18:00,KORL_GT3,KORL,Approved,Scheduled (Planned),100.1,36,BI+PI+IC M+GCB+MCC,
10/15/2017 7:00,11/4/2017 18:00,KORL_GT3,KORL,Approved,Scheduled (Planned),100.1,36,BI+PI+IC M+GCB+MCC,
1/24/2017 9:00,1/24/2017 9:30,TESLA_PICTON_G1,TSLA_MGT,Approved,Forced,9.9,,Trip occurred during internal testing. Enable removed until trip reset.,
1/14/2017 8:00,1/14/2017 15:00,MELK_G7,MELK,Approved,Forced,205.9,,Delayed RTS,
1/30/2017 8:00,2/6/2017 7:30,MELK_G7,MELK,Approved,Scheduled (Planned),55,36,Boiler maintenance,
